0	0.66028
0.5	0.7792700000000001
1	0.6784800000000001
1.5	0.7473099999999999
2	0.66944
2.5	0.7163
3	0.8438100000000001
3.5	0.70199
4	0.7411000000000001
4.5	0.6858299999999999
5	0.68406
5.5	0.59851
6	0.70628
6.5	0.64795
7	0.67403
7.5	0.69041
8	0.58175
8.5	0.55212
9	0.6545000000000001
9.5	0.6476900000000001
10	0.62062
10.5	0.65053
11	0.6612699999999998
11.5	0.76411
12	0.65136
12.5	0.6140100000000001
13	0.67394
13.5	0.7181
14	0.66432
14.5	0.6230800000000001
15	0.6023999999999999
15.5	0.6123
16	0.69969
16.5	0.76061
17	0.77498
17.5	0.7552199999999999
18	0.7533099999999999
18.5	0.6098499999999999
19	0.75246
19.5	0.74782
20	0.67649
20.5	0.82297
21	0.8563099999999999
21.5	0.6318299999999999
22	0.7252599999999999
22.5	0.63166
23	0.7048599999999999
23.5	0.69309
24	0.6781
24.5	0.6433099999999999
25	0.69183
25.5	0.65915
26	0.64675
26.5	0.67266
27	0.68076
27.5	0.7124300000000001
28	0.7160400000000001
28.5	0.73519
29	0.9034700000000001
29.5	0.72492
30	0.70183
30.5	0.8593
31	1.2586
31.5	1.4602
32	2.1935
32.5	1.476
33	1.6814
33.5	1.2372
34	1.922
34.5	1.5137
35	1.1117
35.5	1.176
36	1.5039
36.5	1.6505
37	1.6103
37.5	1.3367
38	1.6289
38.5	2.9794
39	2.2796
39.5	2.0275
40	2.1081
40.5	3.5777
41	3.1296
41.5	1.9446
42	1.893
42.5	2.4411
43	2.2726
43.5	2.6642
44	3.1658
44.5	2.6158
45	1.7703
45.5	1.7167
46	1.8001
46.5	3.2965
47	1.5919
47.5	1.7755
48	1.7588
48.5	1.7931
49	2.4313
49.5	5.898
50	10.3144
50.5	2.1004
51	4.5398
51.5	9.769
52	4.8995
52.5	3.129
53	3.9151
53.5	4.9873
54	5.6159
54.5	5.2343
55	8.1472
55.5	7.8822
56	14.4832
56.5	8.3997
57	4.8071
57.5	9.279
58	8.5263
58.5	13.0682
59	7.9136
59.5	12.588
60	7.2018
60.5	6.7566
61	7.418
61.5	10.3514
62	17.7765
62.5	8.9159
63	8.1323
63.5	10.6067
64	8.7903
64.5	8.7541
65	6.542
65.5	8.0461
66	9.1311
66.5	9.2913
67	15.4715
67.5	7.948
68	13.7007
68.5	14.3133
69	13.1842
69.5	9.5438
70	9.4679
